,instrument,date,52_week_total_return,price_open,price_close,pe,price_avg,log_returns,decile
1321,AAPL.O,2019-08-09T00:00:00Z,-1.63938248209392,50.325,50.2475,17.459355031,50.28625,-0.003325395162889624,4
1320,AAPL.O,2019-08-12T00:00:00Z,-2.51839537340361,49.905,50.12,17.415052971,50.0125,-0.005458705711774167,3
1319,AAPL.O,2019-08-13T00:00:00Z,1.18349018476531,50.255,52.2425,18.152551972,51.24875,0.024418253293814828,10
1318,AAPL.O,2019-08-14T00:00:00Z,-2.05704619632249,50.79,50.6875,17.612240572,50.738749999999996,-0.010001309005626124,2
1317,AAPL.O,2019-08-15T00:00:00Z,-3.95204467999758,50.865,50.435,17.52450512,50.650000000000006,-0.00175068777684973,4
1316,AAPL.O,2019-08-16T00:00:00Z,-3.6107133755658,51.07,51.625,17.937991014,51.3475,0.01367701900297412,9
1315,AAPL.O,2019-08-19T00:00:00Z,-0.847528651071028,52.655,52.5875,18.272428135,52.62125,0.024503780858478846,10
1314,AAPL.O,2019-08-20T00:00:00Z,-0.649148584273296,52.72,52.59,18.273296803,52.655,0.0006411702764148385,5
1313,AAPL.O,2019-08-21T00:00:00Z,0.42300185540336,53.2475,53.16,18.471353072,53.20375,0.010367681752629549,8
1312,AAPL.O,2019-08-22T00:00:00Z,0.133117726220022,53.2975,53.115,18.455717051,53.20625,4.6988065040061795e-05,5
1311,AAPL.O,2019-08-23T00:00:00Z,-4.79110437181446,52.3575,50.66,17.602685226,51.50875,-0.03242417449978344,1
1310,AAPL.O,2019-08-26T00:00:00Z,-3.77459221903593,51.465,51.6225,17.937122347,51.54375,0.0006792654490820073,5
1309,AAPL.O,2019-08-27T00:00:00Z,-5.62254049718857,51.965,51.04,17.734722739,51.5025,-0.000800611418724509,5
1308,AAPL.O,2019-08-28T00:00:00Z,-6.38682100827226,51.025,51.3825,17.853730233,51.20375,-0.005817578629920012,3
